GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Male,Margin of Error; Total: - Male,Estimate; Total: - Female,Margin of Error; Total: - Female,Estimate; Total: - Same house 1 year ago:,Margin of Error; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - Male,Margin of Error; Total: - Same house 1 year ago: - Male,Estimate; Total: - Same house 1 year ago: - Female,Margin of Error; Total: - Same house 1 year ago: - Female,Estimate; Total: - Moved within same county:,Margin of Error; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - Male,Margin of Error; Total: - Moved within same county: - Male,Estimate; Total: - Moved within same county: - Female,Margin of Error; Total: - Moved within same county: - Female,Estimate; Total: - Moved from different county within same state:,Margin of Error; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - Male,Margin of Error; Total: - Moved from different county within same state: - Male,Estimate; Total: - Moved from different county within same state: - Female,Margin of Error; Total: - Moved from different county within same state: - Female,Estimate; Total: - Moved from different state:,Margin of Error; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - Male,Margin of Error; Total: - Moved from different state: - Male,Estimate; Total: - Moved from different state: - Female,Margin of Error; Total: - Moved from different state: - Female,Estimate; Total: - Moved from abroad:,Margin of Error; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - Male,Margin of Error; Total: - Moved from abroad: - Male,Estimate; Total: - Moved from abroad: - Female,Margin of Error; Total: - Moved from abroad: - Female
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",5144,410,2354,331,2790,350,3839,395,1885,231,1954,275,497,236,189,112,308,179,0,17,0,17,0,17,418,204,192,178,226,147,390,234,88,65,302,202
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",3685,384,1582,239,2103,279,1650,454,739,230,911,305,661,223,204,87,457,188,0,12,0,12,0,12,1217,329,597,157,620,227,157,91,42,44,115,83
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",4751,552,2189,364,2562,495,2973,641,1403,261,1570,442,947,406,470,381,477,210,0,12,0,12,0,12,596,228,243,121,353,191,235,131,73,49,162,98
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",6005,616,2829,594,3176,333,4218,446,1791,288,2427,298,1121,471,631,421,490,180,0,17,0,17,0,17,604,286,380,266,224,118,62,66,27,39,35,30
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",1572,146,807,102,765,92,1389,154,701,97,688,90,46,28,27,28,19,19,0,12,0,12,0,12,108,69,70,50,38,34,29,30,9,13,20,19
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",3502,338,1582,191,1920,310,2491,321,1162,201,1329,232,227,138,32,34,195,130,0,12,0,12,0,12,637,212,341,136,296,128,147,119,47,54,100,99
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",2967,203,1180,139,1787,190,2408,214,1018,137,1390,182,178,94,55,37,123,77,0,12,0,12,0,12,280,125,97,57,183,83,101,128,10,15,91,125
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",4647,332,1994,216,2653,261,3807,289,1659,163,2148,251,474,183,185,84,289,132,0,12,0,12,0,12,258,179,98,90,160,105,108,104,52,80,56,66
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",5245,490,1854,289,3391,360,4137,385,1503,254,2634,273,569,324,143,154,426,188,0,17,0,17,0,17,428,233,164,90,264,200,111,115,44,54,67,68
