"","ZCTA5","STATE","COUNTY","TRACT","GEOID","POPPT","HUPT","AREAPT","AREALANDPT","ZPOP","ZHU","ZAREA","ZAREALAND","TRPOP","TRHU","TRAREA","TRAREALAND","ZPOPPCT","ZHUPCT","ZAREAPCT","ZAREALANDPCT","TRPOPPCT","TRHUPCT","TRAREAPCT","TRAREALANDPCT"
"26625",20001,11,1,3100,11001003100,855,315,64861,64861,38551,18751,5804197,5644604,2885,1131,294805,294805,2.22,1.68,1.12,1.15,29.64,27.85,22,22
"26626",20001,11,1,3200,11001003200,448,163,51331,51331,38551,18751,5804197,5644604,4913,1840,444898,444898,1.16,0.87,0.88,0.91,9.12,8.86,11.54,11.54
"26627",20001,11,1,3301,11001003301,3198,1578,439657,439657,38551,18751,5804197,5644604,3198,1578,439657,439657,8.3,8.42,7.57,7.79,100,100,100,100
"26628",20001,11,1,3302,11001003302,2134,982,198630,198630,38551,18751,5804197,5644604,2134,982,198630,198630,5.54,5.24,3.42,3.52,100,100,100,100
"26629",20001,11,1,3400,11001003400,4347,1347,1077537,917944,38551,18751,5804197,5644604,4347,1347,1077537,917944,11.28,7.18,18.56,16.26,100,100,100,100
"26630",20001,11,1,3500,11001003500,3740,1189,381867,381867,38551,18751,5804197,5644604,3740,1189,381867,381867,9.7,6.34,6.58,6.77,100,100,100,100
"26631",20001,11,1,4400,11001004400,1565,813,229625,229625,38551,18751,5804197,5644604,4572,2651,521741,521741,4.06,4.34,3.96,4.07,34.23,30.67,44.01,44.01
"26632",20001,11,1,4600,11001004600,3028,1465,436960,436960,38551,18751,5804197,5644604,3028,1465,436960,436960,7.85,7.81,7.53,7.74,100,100,100,100
"26633",20001,11,1,4701,11001004701,2544,1500,256118,256118,38551,18751,5804197,5644604,3986,2138,321251,321251,6.6,8,4.41,4.54,63.82,70.16,79.73,79.73
"26634",20001,11,1,4702,11001004702,1802,988,291364,291364,38551,18751,5804197,5644604,1802,988,324537,324537,4.67,5.27,5.02,5.16,100,100,89.78,89.78
"26635",20001,11,1,4801,11001004801,2143,1208,317491,317491,38551,18751,5804197,5644604,2143,1208,317491,317491,5.56,6.44,5.47,5.62,100,100,100,100
"26636",20001,11,1,4802,11001004802,2922,1561,288126,288126,38551,18751,5804197,5644604,2922,1561,288126,288126,7.58,8.32,4.96,5.1,100,100,100,100
"26637",20001,11,1,4901,11001004901,2087,1094,271886,271886,38551,18751,5804197,5644604,2087,1094,271886,271886,5.41,5.83,4.68,4.82,100,100,100,100
"26638",20001,11,1,4902,11001004902,2690,1530,263885,263885,38551,18751,5804197,5644604,2690,1530,263885,263885,6.98,8.16,4.55,4.67,100,100,100,100
"26639",20001,11,1,5001,11001005001,140,88,15877,15877,38551,18751,5804197,5644604,1955,1003,204752,204752,0.36,0.47,0.27,0.28,7.16,8.77,7.75,7.75
"26640",20001,11,1,5002,11001005002,504,155,16115,16115,38551,18751,5804197,5644604,6021,3853,233508,233508,1.31,0.83,0.28,0.29,8.37,4.02,6.9,6.9
"26641",20001,11,1,5800,11001005800,1205,763,350860,350860,38551,18751,5804197,5644604,2830,2306,910808,910808,3.13,4.07,6.04,6.22,42.58,33.09,38.52,38.52
"26642",20001,11,1,5900,11001005900,2998,1868,643887,643887,38551,18751,5804197,5644604,2998,1868,643887,643887,7.78,9.96,11.09,11.41,100,100,100,100
"26643",20001,11,1,6202,11001006202,0,0,155764,155764,38551,18751,5804197,5644604,33,8,11418663,6583173,0,0,2.68,2.76,0,0,1.36,2.37
"26644",20001,11,1,10100,11001010100,201,144,52356,52356,38551,18751,5804197,5644604,2621,2067,579751,579751,0.52,0.77,0.9,0.93,7.67,6.97,9.03,9.03
"26645",20002,11,1,4701,11001004701,1442,638,65133,65133,52370,26166,14195549,13616347,3986,2138,321251,321251,2.75,2.44,0.46,0.48,36.18,29.84,20.27,20.27
"26646",20002,11,1,4702,11001004702,0,0,33173,33173,52370,26166,14195549,13616347,1802,988,324537,324537,0,0,0.23,0.24,0,0,10.22,10.22
"26647",20002,11,1,6202,11001006202,5,0,420769,420769,52370,26166,14195549,13616347,33,8,11418663,6583173,0.01,0,2.96,3.09,15.15,0,3.68,6.39
"26648",20002,11,1,6804,11001006804,0,0,793312,560700,52370,26166,14195549,13616347,3670,13,2025540,1542921,0,0,5.59,4.12,0,0,39.17,36.34
"26649",20002,11,1,7901,11001007901,3822,1784,398312,398312,52370,26166,14195549,13616347,3822,1784,398312,398312,7.3,6.82,2.81,2.93,100,100,100,100
"26650",20002,11,1,7903,11001007903,1774,880,242608,242608,52370,26166,14195549,13616347,1774,880,242608,242608,3.39,3.36,1.71,1.78,100,100,100,100
